¿En cuál vas?,ID,Comentario,Gobierno,Oposición,Posible Contradicción
61,6678,Felicidades  no cabe duda su información es excelente,0,0,
62,2197,"Es un Señor y no importa lo que el se sienta. Cuando nació, el médico les dijo a sus padres ""Es niño"", y así fué registrado en su acta de nacimiento. Tiene todo el derecho del mundo de sentirse mujer o marciano si quiere, pero no nos puede obligar a llamarle como el quiere.  Pienso que es mejor devirle ""Señor"" con respeto...En vez de ""Señora"", con lástima o risa.",0,0,
63,1236,"Loret: que tan mal está el “discurso de la oposición” o sea no el trabajo, no los resultados, no la corrupción, no su historia y fracasos de decisiones. “El discurso”",0,0,
64,1685,Siempre un hombre coherente antes y hoy Viva el Presidente  Andres Manuel Lopez Obrador .,1,0,
65,3453,Sr presidente porque no auditan a los ministros magistrados y jueces gracias,1,0,
66,6556,"Maestro Paco Cruz, eres el mejor!, Dios te Bendiga!!! 🇲🇽",1,0,
67,1063,"Si le criticaran por su intelecto o por su trabajo como senadora le iria peor! le llamarian algo peor que botarga, adjetivo que ella misma se lo buscó, o ballena, que no necesita explicacion. Lo mas bonito que le dirian es ""taruga""!",0,0,
68,2218,MUCHAS FELICIDADES @PARALEERENLIBERTAD.POR ÉSTE GRAN TRABAJO Y ESFUERZO. PARA LLEGAR. A LUGARES DONDE HAY MÁS NECESIDAD DE CONSIENTIZAR A LAS CLASES Y DELEGACIONES MÁS POPULARES.GRACIAS FRANCISCO CRUZ . GRAN PERIODISTA..ME SIENTO COMPROMETIDO CON ÉL. PARA ADQUIRIR TODAS SUS OBRAS  YA PUBLICADAS. MÁS LA QUÉ VIENEN.,1,0,
69,8003,Jajajaja  jajajaja,0,0,
70,3462,Los borrachos y los niños dicen la verdad! Sr. cuadri hasta las chanclas !!,0,-1,
71,1370,"El derecho constitucional a votar de los mexicanos en el extranjero debe autorizarse, de lo contrario es una decisión inconstitucional.",0,0,
72,2177,"Compañeros para el 2024 necesitamos nuestro voto, el de nuestros VECINOS, AMIGO, FAMILIARES, CONOCIDOS Y DESCONOCIDOS debemos luchar participar en sondeos callejeros, hablar con deportistas, estudiantes, obreros, vendedores, comerciantes con todo NUESTRO PUEBLO para lograr que Dip. NOROÑA llegue al 2024 con la fuerza necesaria para ARRASAR y que no nos roben la CANDIDATURA, unidos UNIDOS UNIDOS UNIDOS en COALICION y con mucho trabajo lo lograremos",1,0,
73,2498,LORET ya tiene sus slogan para la campaña.  Solo es cuestión de que la oposición se anime para convencerlo y sea su candidato. Seguro al viejo guango le a caer anillo al Dedo,0,-1,
74,936,"Buenas noches,les comento sobre los problemas en el Estado de Nuevo León entre Samuel García y el PRIAN, dónde efectivamente es un pleito entre dos mafias y dónde la población de Nuevo León está atrapada entre dos fuegos. Lo mejor que puede pasar es que el poder Federal tome el control del gobierno de Nuevo León, hasta que haya nuevas elecciones.ATTE JUAN CARLOS PAREDES ZEPEDA, CIUDAD DE MÉXICO",-1,-1,
75,1531,Desde Chiapas te apoyamos Lili eres la que debe ser la candidata del Prianismo para terminar de enterrarlo.,1,-1,
76,4782,Cuando tienes un conocido que vive en edo mex y su intelectualidad le dan para burlarse de como hablan de los otros estados mmmm en lugar de ver x quien va a gobernar su estado,0,0,
77,975,"12:29  Todos tenemos un favorito, pero al final tenemos todos que apoyar al 100% al ganador de las encuestas. Esa es la unidad a la que se refiere el presidente AMLO. El apoyo es demostrado votando por el ganador; nada de que si no ganó mi favorito,  ahora no voto por nadie, - eso equivaldría a traición -.",1,0,
78,6898,Exigimos el regreso del licenciado chispotín!!!,0,0,
79,5238,Jajaja...un wey que en su p...ta vida ha trabajado diciendo que si se puede ir a trabajar con el calor... Namamas,0,0,
80,7049,Excelentes respuestas del licenciado Noroña,1,0,
81,363,GRACIAS A NUESTRO PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR MEXICO CRESE VIVA LA 4T,1,0,
82,8104,12:00 el mejor,0,0,
83,6478,"Si estorban, qué se pongan a trabajar junto al gobernador.",0,0,
84,598,"Excelente video gracias Brozo y Loret, son lo máximo,, esta es nuestra realidad aunque no lo crean muchos todavía,, bonita tarde y que Dios nos ampare a todos los mexicanos",0,1,
85,487,Todos Unidos jamás jamás serán vencidos Eso esperamos los mexicanos de los candidatos presidenciales que apoyen al coordinador de la cuarta transformación en puestos estratégicos Espero y no se dejen dominar por el ego porque solamente uno va a llegar,1,0,
86,562,Jajajaja ja quien está en desgracia es a Alito y al final de la historia éste es su karma y lo felicito x que desbarató a un mal partido  bravo Alito nos hizo un gran favor a los de MORENA...,0,-1,
87,791,El pri es lo peor que le pudo pasar a México con sus líderes corruptos salinas Zedillo peña,0,-1,
88,4339,No mega mms  Brozo te amo!,0,1,
89,3,"VIVA AMLO, VIVA EL CAMBIO, VIVA MORENA, VIVA LA 4TA.TRANSFORMACION Y QUE VIVAN TODOS LOS MEXICANOS Y EXTRANJEROS QUE APOYAMOS A ESTE GRAN PRESIDENTE Y A SU NUEVO GOBIERNO...VIVA MEXICO Y MUERA EL NARCOPRIANDRMC",1,0,
90,3007,Pemex es una expresa mexicana y si la renta o vende nuestro petróleo queda a merced de empresas extranjeras,0,0,
91,7658,Y no as pasado en Monterrey,0,0,
92,7602,Claro que si a esa pregunta!!,0,0,
93,4355,El PRIAN siempre estorba,0,-1,
94,687,"Excelente entrevista, felicidades a estos dos ciudadanos por aventarse a entrevistar al Lic. Fernández Noroña (próximo presidente)",1,0,
95,7302,No tiene huevos solo le gusta caldeon,0,0,
96,2293,"Señor presidente, pero hay muchísimos vicios en las instituciones de salud, le quieren meter sancadillas, no hay medicamentos, no hay reactivos. Necesitan hacer auditorías, la gente no quiere denunciar quizás por miedo y mucho menos los trabajadores",0,0,
97,3751,"De todo corazón mi chumi bebé, chtpm cada vez que  respires",0,-1,
98,1884,"Si señor, yo defiendo al INAI:
InstitutoNacionalde cAlidaddel aIre",,0,
99,6654,Que tu y yo estamos locos Lucas. Jajajaja steweeeeeee,0,0,
100,1142,Muchas felicidades a este gran Periodista por decir la verdad que millones de Mexicanos as necesitan saber lo que el PRIRATAS a echooooo a todos los Mexicanos as el cual se dedicaron solo a Robaaaar,1,-1,
101,6627,"Mil Gracias, Por Su Episodio 60, QUERIDOS HERMANOS. ️️",0,0,
102,7210,X supuesto que NO votaría x una botarga,0,0,
103,6310,La neta yo creo que deberían de mandar a la Ana Guevara al bote,-1,0,
104,4132,"Adan, Adan... Aparalos que hay te van!!",0,0,
105,5514,Van a salvar al pueblo que ellos mismos atacan? Jajajajajajajaja nombre unos genios ajajajajaja,0,0,
106,1615,"Hay por favor hace unos meses decia quw Samuel era un corrupto y que lo hiba a llevar a prisión,",0,0,
107,1526,Considero se vieron blandos pues xochilt tiene muchas acciones encontrá qué pudieron cuestionar pero en fin.,0,-1,
108,3567,Chumel deberia lanzarse en fornula con lela Telllez a la Presidencia.,0,1,
109,2697,"Chuminada cuando van a estar en San Diego, y en Riverside?? también en que foros o lugares, para poder asistir y alabarlos; son únicos!!!!!",0,1,
110,7165,Saludos y recuerden que Noroña es pueblo,1,0,
111,5856,"A la Vichis hubieran puesto en la SEGOB podria haber hecho un mal papel, ajajaja",0,0,
112,873,APOYO TOTAL A LA 4TAPOYO AL AMLO.VIVA EL PUEBLO DE MEXICO.,1,0,
113,1192,Como le tiraron a nuestro actual presidente así le tiraran a los participantes pero siempre tenemos que apoyarlos y que quien gane sea apoyado totalmente y no aser caso a los ardidos,1,0,
114,5535,Quién es el cabron con excelente gusto musical que hizo ese majestuoso chiste de Luca turilli?,0,0,
115,1904,PRI: Prepareme mi lana.México: Esto se acabó hijo de la chin**da,0,-1,
116,7640,Pues yo creo que tiene razon,0,0,
117,2633,Premio Nobel para AMLO 🇲🇽🇲🇽 Dios lo Bendice lo Proteje y lo Acompaña Siempre 🇲🇽🇲🇽🇲🇽🇲🇽 Honestidad Orden inteligente trabajando hasta los Domingos 🇲🇽🇲🇽,1,0,
118,2582,Excelente Señores ese imitador del viejito que dijo muchas promesas chidas no podrá ocupar el lugar del viejito mantenido que tenemos en Palacio Nacional.!??,0,0,
119,4435,Chumel eres genial,0,1,
120,4344,Alito es un tipo muy falso,0,-1,
121,4003,En que han convertido la cámara de diputados .,0,0,
122,4739,Agradezco mucho su apoyo  a José Gerardo Fernández Noroña ...... Solo de escucharlo cambia la opinión de aquellos que hablan de él porque tienen miedo al cambio de algo que no conocen......,1,0,
123,4210,Excelente  periodistay buen trabajo,0,0,
124,5836,"Apoyo total al congreso de Nuevo León, no más Samuel García y no más despilfarro",-1,0,
125,123,"Latinus: Sr. Carlos Loret de Mola y Brozo buenas nochesReciben por parte del dinero de los contribuyentes para que no hagan bien las cosas, Alejandro y Marco no son los dueños de los partidos, su tiempo se les acabo, saludos",0,-1,
126,6823,De verdad éstos políticos viven en otra dimensión,0,0,
127,1764,Saludos cordiales a los geniales Carlos Loret y Brozo. Felicidades por su valor,0,1,
128,7804,no se le quita lo endejo,0,0,
129,3611,tengo meses si ver un video de chumel. ya me acorde por que era...,0,0,
130,4296,Jajajaja es verdad chumi bebé,0,-1,
131,7320,Los Regiomontanos sin Samuel García.,-1,0,
132,3383,Gracias  LELA con esta entrevIsta me dejas decidir que mi voto es MORENA!!!!!!!!,1,0,
133,4975,EN VIVO. 1:15 AM (Hora Ucrania). Una fuerte contraofensiva RUSA en varias regiones(obviamente no se nos está permitido decir en que lugares).,0,0,
134,6272,Ese señor cada día delira más!!!!Como me divierten sus payasadas,0,0,
135,3338,"Kkuadri en su mejor momento, veraz, objetivo, trascendental, respetable........???",0,-1,
136,1889,Estos politicos corruptos y racistas deben desaparecer viva la 4T,1,0,
137,7751,Muy buen programa saludos,0,0,
138,4348,Buenos dias sr Presidente,1,0,
139,7730,Kien esta atras lakalabera,0,0,
140,1198,QUE JESUCRISTO LO BENDIGA SIEMPRE SEÑOR PRESIDENTE LÓPEZ OBRADOR AMÉN RESIVAN UN SALUDO DESDE SAN LUIS RIO COLORADO SONORA ESTOY ORANDO POR USTEDES EN ÉL NOMBRE DE JESUCRISTO AMÉN,1,0,
141,3448,"Felicidades, con estas propuestas ya no tengo ninguna duda votaré por morena",1,0,
142,7315,"Nice job, what a beautiful interview",0,0,
143,6424,"Son lo máximo, no hay nada mejor que el sarcasmo inteligente",0,0,
144,4706,"Me alegra mucho ver el Cañon del Sumidero muy limpio, y en general ver la mejoras en el Estado de mis antepasados, nuestro hermoso Chiapas. ¡Muchas Felicidades! Saludos Cordiales desde Nuevo León..",0,0,
145,1825,Como me gusta ver cuando entra nuestro mejor presidente a dar sus mañaneras,1,0,
146,3305,De momento me hizo recordar los TRABALENGUAS que tenía que aprenderme en la primaria,0,0,
147,7922,Genial la lady tepito,0,0,
148,4281,"Bendiciones, mi Presidente....",1,0,
149,6852,"Que maravilla son los dos ,siempre sorprendiendo",0,0,
150,4162,LA MEJOR ESTANDOPERA DEL PAN . .  . .,0,0,
151,4622,ojalá hubiera más como ustedes..así o más obvió d todo lo q ocurre en el pais...las verdades en todo su esplendor..siempre he dicho q no hay peor ciego q el q no quiere ver...excelentes programas..no m los pierdo por nada del mundo...!!,0,0,
152,1129,AMLO Congruencia Patriotismo  Humanismo Honestidad Conocimiento Humildad Inteligencia Grande Grande Grande!!!!!! Que chiquitos se ven estos periodistas empleados de los que se creen duenos de Mexico!!!,1,0,
153,2045,Tal parece que alito esta hablando del prian,0,-1,
154,2630,"Carga para el país son todos aquellos políticos que no sirven para nada pero que si el país los  tiene  que mantener, así como el señor cuadrilla !!!!",0,-1,
155,937,"Entre Claudia y Noroña hay ideales muy radicales, Noroña es mas del pueblo y Claudia nadie la conocia. En Chiapas mando o mandaron a pintar todas las bardas con el nombre de Claudia para que la vayan conociendo, noroña no nececita que le pinten bardas, el que es bueno con la patria el pueblo lo reconoce. Noroña es muy conocido por sus luchas de muchos años.
Noroña próximo Presidente.",1,0,
156,223,AMLO  ya México pedía a gritos a un buen presidente. Gracias llegó en el memento indicado. Estaría bien que se quedará permanente en la presidencia   Pero bueno su seccenio a sido un gran portal para el desarrollo de está Nación. Amor totalmente para usted y todo su entorno.,1,0,
157,4368,Ése Alito el Bandalito.,0,-1,
158,6192,Felicidades por su gran reportaje Atte Javier Hernández Plascencia.,0,0,
159,1298,"Jajajajajajajaja. Jajajajajajajaja  Me encantan Brozito y Loretito!!!! Gracias por informarnos con la verdad Hermanos!!! Excelente trabajo Chiquillos,",0,1,
160,2506,esta esperando a que venga AMLO a que le arregle todos  los desvalijes  por qué el usa su tiempo para  hacer vídeos de  ticotok y maquillarse para salir bonito el los videos,1,0,
161,7383,"imagínense, al dr chapatin de presi",0,0,
162,1276,"DIOS LO BENDIGA PRESIDENTE ,
ADELANTE GENTE 4T ,
YA ESTAMOS MUT AVANZADOS PARA LA CONSOLIDACION Y LA OPOCISION MUY EXIBIDA Y CASI DESAPARECIDA ,
ANIMOOOO .",1,0,
163,2176,"El de CNN de tes ta a la gente de Tepito. Sera mejor que mire si ha pisado pop antes de mirar la suela del otro. Mientras seas respetuoso defendiendo tu punto, nadie debe censurarte, aunque para algunos resulte incomodo. Nadie puede imponer aceptacion y un gesto aprobatorio a una situacion que no es de tu agrado mirar. Cada quien es libre de pensar y opinar respetuosamente. El presentador de C N N siente rechazo hacia el barrio y la gente humilde. FIN.",0,0,
164,6352,Como ya no hay fútbol ahora sí se acordó de gobernar el junior,0,0,
165,4085,Yo los respeto a todos y votaría por ADÁN,0,0,
166,5658,Me encanta verlos juntos y sobre todo los temas que abordan sin miedo a decir la verdad.,0,0,
167,5039,Si hay que separar esos estados.  Yo soy jarocho. También que nos separen.  Para ver como sus estados norteñitos se mueren de hambre.,0,0,
168,7155,Jajajajajajaja un niño a buscar el perro,0,0,
169,1807,Te estamos checando Samelito OjO viva AMLO profeta y patriota viva México 🇲🇽,1,0,
170,3882,CON GRAN CARIÑO LO SALUDO MI PRESIDENTE QUERIDO ️🇲🇽️,1,0,
171,7733,"Pueblo, pueblo... Noroña !",1,0,
172,7636,Samuel no se respeta ni el .,-1,0,
173,3614,"Se Está Desintegrado el Cartel "" Tricolor"" y ""alito"" Contribuyendo",0,-1,
174,6074,"A Cantinflas le escribían los libretos, pero ella es naturalita, jajaja",0,0,
175,3486,Es fácil decir pero hay qué ver.  Si los MEXICANOS QUIEREN MAS DE LO MISMO,0,0,
176,155,"Los dirigentes  de los partidos  Diputados  y Senadores deben  servir  a todos  los ciudadanos  y ponerse a trabajar para que  regrese  la credibilidad,  gracias",0,0,
177,5740,Un país con Educación nadie lo somete cómo lo hacen los gobernantes de todo el mundo,0,0,
178,3728,"¿DE QUÉ LEY HABLA ALITO?, MEJOR QUE NOS HABLE DE SUS AUDIOS.",0,0,
179,8164,Una locura.,0,0,
180,6751,.......vas a extrañar  las  de las legisladores....,0,0,
181,3904,Seguimos apoyando a nuestro cabecita de algodón!!!,1,0,
182,3104,"Callese. Igualada es su presidente, y usted no pierda su tiempo, es una clasista  con los indígenas",0,-1,
183,7163,JAJAJAJAJAJAJAJAJAJA AMO el caso cerrado,0,0,
184,895,Excelente trabajo Querido Carlos Loret y Brozo,0,1,
185,1519,Excelentes los no. 1 en toda la dormida República Mexicana.......compatriotas ya despierten por amor a Mexico,0,0,
186,3142,"Ese discurso viejo de Alito ya está muy pisado ,el pueblo no vive de palabras bonitas . jajajaja",0,-1,
187,1781,"PALITO MODELO,,, la desgracia del pri y el sueño de las gatitas de telerrisa .",0,-1,
188,6258,"Geniales, gracias por seguir adelante, muchas gracias muchachos!!",0,0,
189,5811,Clarito escuche que dijo que el Ricky se quedaba con la Ertiga ¿Todavia la tienen?,0,0,
190,5781,pobre del Dr Chapatin se estará rebolcando del coraje  con esta mala copia de él!!!,0,0,
191,7461,Estuvo con madres este pulso!!! ️,0,0,
192,7390,"Que buen programa, hoy se lucieron",0,0,
193,5759,SAMUEL GARCÍA EL GOBER DEL TIK TIK CON TODO RESPETO NUEVO LEÓN NO SOLO ES SAN PEDRO.,-1,0,
194,985,Sr. Presidente usted que siempre es gestor de las causas justas. Somos centenas de maestros Chiapanecos que nos hemos visto afectados en el tema salarial por el hecho de habernos cambiado de zona escolar. Esto desde el 2017 y el gobierno actual de Chiapas no nos brinda solución. Ayúdenos por favor!!!,1,0,
195,1945,Gracias gracias sr Presidente Andrés Manuel López Obrador,1,0,
196,2919,Álvaro y Alejandro los admiro por su tolerancia. Yo ni tomándome un Pepto Bismol he podido tolerarla ni 5 minutos.,0,0,
197,2283,"Te pasate de vrg con lo de ""Autista"" pero se entiende, lo digo por que mi hijo tiene necesidades especiales y se encuentra en el espectro Autista, pero no hay pedo se que a la comedia a veces le vale madre, nomas ya sabes ""a la vuelta venden pan prrro"" .",0,0,
198,3215,No cabe duda que Morena tiene a varios del elenco de los Germán Mounster y los locos Adams,-1,0,
199,5745,"Si ya no hay dueño americano , de donde salen los 60 mil millones de Dls. En remesas",0,0,
200,6254,Quisiera llamarme Josue para poner ese quejido de tono de llamada,0,0,
201,2423,MORI DE LA RISA YO TAMBIEN VEO UN SEÑOR CUADRI LO HIZO PA PRENDER AL QUE LE DIJO SR POR SUS INSULTOS NO TUVO QUE DECIR UNA BAJEZA CON SEÑOR LO ANIQUILO Y YA DE AHI DE SOLTARON LAS LAVANDERAS TEAM,0,-1,
202,3153,Yo pensaba que Josefina Vazquez Mota era pésima oradora y ahora escuché a Claudia y que horror.,-1,0,
203,5311,"No tiene su mente clara, como se ve que no sabe de qué tema está hablando , así ni como ayudarla jajajajaj",0,0,
204,4403,El multiverso de AMLO,-1,0,
205,2877,"Muchas Gracias  Paco Cruz por esta exelente platica para seguir quitando la venda de los ojos a los mexicanos, Saludos",1,0,
206,6567,Ese wero de rancho nada más piensa en su macho Elon Musk,-1,0,
207,2308,"Gran pulso!! Da mucho coraje todo lo que está pasando y que no se le vea final, pero al menos aquí en el pulso me la paso bien, mientras me entero de toda la kk qué hay en la política de este país y sus alrededores.Abrazo enorme a Maquina 501",0,1,
208,2053,"C. Presidente, excelente trabajo  , saludos.",1,0,
209,291,"UN MARAVILLOSO DÍA MARTES APRECIADO SR. PRÉSIDENTE DE LA NACIÓN MEXICANA️🇲🇽... ASÍ ÉS, LIC. AMLO, ÉL INDIVIDUO NOO, ESTÁ HECHO PARÁ MEDITAR SÍNO PARÁ ACTUAR...",1,0,
210,3947,Ya se chingo el Edo de México!! Y sigue el 24 !!,0,0,
211,4041,El noroñabus me recordó a la combi de cuadri,-1,0,
212,859,Saludos Brozo y Carlos Loret ️ excelente su trabajo como siempre,0,1,
213,856,Es un honor estar con AMLO único presidente en México bendiciones,1,0,
214,3870,"Uuuuu señora Xochitl , este viejillo no tiene palabra",0,0,
215,6936,El pueblo es el que decide. Apoyo total Noroña,1,0,
216,5338,Me gusto mucho la entrevista los dos son muy   buenos en lo  que hacen los felicito  un saludo sr. Álvaro,0,0,
217,7711,Ya extrañaba a liz bilchis,0,0,
218,1092,En casa todos siempre hemos sido de izquierda y está fuera de nuestra compresión que aún haya votantes a favor del pri.Hace cómo 25 años viví con un mexiquense y me sorprendió el orgullo que mostró al decirce priįsta,1,-1,
219,5360,Con tu video y tus amigos de la inteligencia artificial puedes lograr mucho más de un millón de firmas.,0,0,
220,563,"Apoyo la 4-t, pero en éste caso el conductor le faltó respeto 1, audiencia 2, Quadri 3, población de Tepito y por primera vez estoy de acuerdo con el panista. Saludos desde Albuquerque NM🇺🇸.",1,0,
221,4479,MARGARINFLAS!,0,0,
222,1427,"Brozo no le tuvo ni un segundo de piedad a Marcelo en este episodio.Da un poquito de pena por él, pero tambien da mucha risa.",-1,1,
223,1850,"Son lo máximo el binomio Loret-Brozo! En el humor, cuanta verdad reluce",0,1,
224,5763,"Cinico, mas descarado no se puede. Insulto a la inteligencia y todavia le aplauden.",0,0,
225,3861,"El PRIAN son como las cucarachas  , nunca se terminan",0,-1,
226,7722,El cantante: Charly García,0,0,
227,7452,Con qué desfachatez miente el Vgt,0,0,
228,5767,Mejor en desgracia que muy agraciados y con mucha hambre corrupción y autoritarismo,0,0,
229,5871,Buenas noches campe la verdad esque en reynosa se va la Luz casi todos los dias,0,0,
230,7144,Hay que darles un pastilla para el dolor!,0,0,
